timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2020-09-01,0.25310000,0.83000000,0.25310000,0.71671000,20904.59490000,1599004799999,13142.13174702,266306,9195.14240000,5831.22455767,0
2020-09-02,0.71695000,0.71695000,0.55227000,0.64413000,13036.27000000,1599091199999,8410.61134728,198748,6085.92920000,3930.25464925,0
2020-09-03,0.64479000,0.64836000,0.44500000,0.47925000,7176.70820000,1599177599999,4056.09056149,109230,2973.27410000,1696.53482416,0
2020-09-04,0.47934000,0.52242000,0.37650000,0.41101000,5847.77640000,1599263999999,2600.16055843,77402,2763.36890000,1223.95057544,0
2020-09-05,0.41092000,0.53500000,0.32577000,0.37088000,9063.17100000,1599350399999,3685.60264169,118538,3980.01210000,1632.35684122,0
2020-09-06,0.37087000,0.41192000,0.28070000,0.37774000,7051.33930000,1599436799999,2509.49148137,78441,3400.86240000,1212.28126757,0
2020-09-07,0.37774000,0.39400000,0.31572000,0.35747000,3811.43510000,1599523199999,1332.26353953,43826,1765.42450000,618.40355206,0
2020-09-08,0.35692000,0.36053000,0.31300000,0.31817000,2146.30220000,1599609599999,711.89797359,30737,969.13540000,321.06106538,0
2020-09-09,0.31813000,0.36474000,0.28335000,0.34909000,4553.16770000,1599695999999,1506.37776362,50916,2033.09560000,674.93503324,0
2020-09-10,0.34908000,0.40887000,0.34103000,0.38252000,5873.30450000,1599782399999,2221.44790644,71902,2724.51650000,1031.08563197,0
2020-09-11,0.38252000,0.47745000,0.35783000,0.47450000,6481.84400000,1599868799999,2670.81627169,81482,3114.71940000,1286.89295184,0
2020-09-12,0.47435000,0.66249000,0.44000000,0.62104000,16705.05540000,1599955199999,9627.49811594,255758,7940.66570000,4577.78139192,0
2020-09-13,0.62004000,0.62400000,0.45000000,0.53605000,9065.03550000,1600041599999,4816.95700014,147044,4219.60280000,2243.90010641,0
2020-09-14,0.53555000,0.64014000,0.49084000,0.54092000,8016.85760000,1600127999999,4588.56543758,145357,3999.19190000,2291.05399840,0
2020-09-15,0.54183000,0.56799000,0.44922000,0.45637000,5122.82810000,1600214399999,2647.78607801,84638,2278.05260000,1179.54188259,0
2020-09-16,0.45568000,0.48044000,0.39480000,0.42388000,5561.56190000,1600300799999,2410.19133214,74321,2649.78740000,1149.12116416,0
2020-09-17,0.42425000,0.47000000,0.37587000,0.39756000,4305.36200000,1600387199999,1777.93973060,52050,2133.52120000,883.13271600,0
2020-09-18,0.39741000,0.42494000,0.35247000,0.37636000,4215.06550000,1600473599999,1638.41561438,46519,2042.96400000,793.13110482,0
2020-09-19,0.37655000,0.37655000,0.33554000,0.35392000,3127.21100000,1600559999999,1102.34303116,36118,1465.87150000,516.88023981,0
2020-09-20,0.35327000,0.39058000,0.30261000,0.32405000,3838.80550000,1600646399999,1342.42588852,45945,1767.28380000,617.09083552,0
2020-09-21,0.32279000,0.33072000,0.27782000,0.29248000,3945.81860000,1600732799999,1189.52900695,40189,1891.36560000,571.69722655,0
2020-09-22,0.29420000,0.32055000,0.28400000,0.30104000,2554.91980000,1600819199999,770.00252802,29687,1159.32140000,349.14917817,0
2020-09-23,0.30102000,0.31558000,0.28076000,0.28248000,2592.81710000,1600905599999,769.01969279,29680,1339.49110000,396.80034742,0
2020-09-24,0.28316000,0.30245000,0.27653000,0.30192000,1654.55360000,1600991999999,480.01780433,24720,775.00740000,225.03149806,0
2020-09-25,0.30193000,0.32200000,0.28290000,0.31300000,2188.59480000,1601078399999,663.09717697,25342,1071.07220000,324.79580431,0
2020-09-26,0.31289000,0.36398000,0.30244000,0.35451000,3821.49340000,1601164799999,1300.00412991,46222,1800.05400000,613.46081055,0
2020-09-27,0.35504000,0.37973000,0.31706000,0.32965000,3755.48600000,1601251199999,1267.92375808,44680,1732.30640000,586.35336931,0
2020-09-28,0.32967000,0.33616000,0.30000000,0.30339000,1765.52980000,1601337599999,554.47432924,23253,848.94470000,266.87076790,0
2020-09-29,0.30339000,0.30925000,0.27967000,0.29022000,1293.96440000,1601423999999,377.72139436,16432,598.42790000,174.75953724,0
2020-09-30,0.29021000,0.29213000,0.28018000,0.28634000,726.96890000,1601510399999,207.79244816,8570,365.61690000,104.49042717,0
2020-10-01,0.28650000,0.30244000,0.26804000,0.28667000,1412.18440000,1601596799999,406.89630439,15305,717.54780000,205.99791599,0
2020-10-02,0.28609000,0.28657000,0.23421000,0.24732000,2468.09330000,1601683199999,614.22993771,23190,1114.16480000,277.67878104,0
2020-10-03,0.24665000,0.25163000,0.20620000,0.20838000,1785.14290000,1601769599999,416.67376080,19143,822.03540000,193.01297751,0
2020-10-04,0.20849000,0.21687000,0.17653000,0.20000000,4481.32990000,1601855999999,878.26118422,38489,2194.94830000,432.31304871,0
2020-10-05,0.20000000,0.20160000,0.17502000,0.18054000,2791.97090000,1601942399999,521.81368571,29226,1294.71240000,242.88935181,0
2020-10-06,0.18067000,0.18443000,0.14250000,0.14725000,3226.06610000,1602028799999,527.74554812,33029,1449.75300000,237.98572306,0
2020-10-07,0.14709000,0.14731000,0.11068000,0.13303000,6179.29810000,1602115199999,773.05798934,43471,3012.95310000,377.07404439,0
2020-10-08,0.13243000,0.18832000,0.11499000,0.17382000,8915.90170000,1602201599999,1334.71122980,59162,4392.90150000,657.53953995,0
2020-10-09,0.17389000,0.23400000,0.15843000,0.21663000,14927.09730000,1602287999999,2944.18748925,95176,7244.22030000,1428.97581471,0
2020-10-10,0.21662000,0.22400000,0.17252000,0.17850000,6916.97110000,1602374399999,1388.18551314,65541,3321.80910000,666.95500796,0
2020-10-11,0.17786000,0.20534000,0.16977000,0.19274000,7002.17850000,1602460799999,1342.28922659,59313,3310.60670000,635.03748903,0
2020-10-12,0.19238000,0.22014000,0.18560000,0.20457000,5160.54040000,1602547199999,1048.31332303,44990,2544.46060000,516.15585309,0
2020-10-13,0.20480000,0.21497000,0.19305000,0.20060000,4208.42720000,1602633599999,869.15474378,33245,2008.65490000,414.84167750,0
2020-10-14,0.20127000,0.20659000,0.17828000,0.18826000,3707.84070000,1602719999999,708.82053170,32111,1656.56000000,316.92878700,0
2020-10-15,0.18819000,0.19668000,0.17759000,0.18705000,2625.81670000,1602806399999,489.86715254,25486,1155.59160000,216.22127210,0
2020-10-16,0.18706000,0.18726000,0.16207000,0.16648000,2343.16640000,1602892799999,410.41454266,23013,1120.19580000,195.90631275,0
2020-10-17,0.16630000,0.17252000,0.15868000,0.16810000,2150.25580000,1602979199999,356.83776932,15960,1028.29240000,170.48181761,0
2020-10-18,0.16786000,0.18330000,0.16508000,0.18120000,2037.13200000,1603065599999,358.06885984,15628,1013.85040000,178.67253848,0
2020-10-19,0.18100000,0.18195000,0.15823000,0.16157000,1663.68310000,1603151999999,282.43268398,14804,736.18570000,125.17013020,0
2020-10-20,0.16113000,0.16999000,0.14203000,0.14914000,2175.94680000,1603238399999,334.01714793,16499,1052.66970000,162.18472107,0
2020-10-21,0.14933000,0.15736000,0.13902000,0.14382000,2471.14430000,1603324799999,368.53418846,16235,1165.28860000,173.91969438,0
2020-10-22,0.14386000,0.15163000,0.13894000,0.14239000,1239.31780000,1603411199999,179.76056864,8618,584.58800000,84.79439355,0
2020-10-23,0.14239000,0.15100000,0.14143000,0.14678000,1425.75810000,1603497599999,208.18375755,9780,677.33140000,98.88363512,0
2020-10-24,0.14659000,0.15023000,0.14034000,0.14252000,858.61330000,1603583999999,125.13305681,6276,379.72720000,55.37268038,0
2020-10-25,0.14235000,0.14309000,0.13224000,0.13345000,726.65700000,1603670399999,100.39670457,6449,363.05330000,50.19239933,0
2020-10-26,0.13342000,0.13830000,0.11550000,0.12076000,1668.44940000,1603756799999,210.16709667,13026,798.35990000,100.78054203,0
2020-10-27,0.12075000,0.12683000,0.11080000,0.11528000,1403.59550000,1603843199999,165.90463843,10815,729.52510000,86.27362277,0
2020-10-28,0.11504000,0.11635000,0.10192000,0.10525000,1795.67240000,1603929599999,194.41796342,15330,971.50870000,105.05504710,0
2020-10-29,0.10522000,0.10890000,0.09242000,0.09424000,2160.19520000,1604015999999,212.91539732,15848,1010.46760000,99.60374727,0
2020-10-30,0.09393000,0.11770000,0.08617000,0.10133000,6300.98130000,1604102399999,641.84905914,33742,3132.59960000,318.70146963,0
2020-10-31,0.10110000,0.10815000,0.09011000,0.09284000,2677.56930000,1604188799999,263.76891007,21782,1309.31490000,129.34596084,0
2020-11-01,0.09272000,0.09699000,0.09157000,0.09501000,905.16250000,1604275199999,85.24076692,6278,447.72840000,42.19032300,0
2020-11-02,0.09477000,0.09999000,0.09000000,0.09096000,837.13370000,1604361599999,79.86640451,8757,383.89060000,36.73231392,0
2020-11-03,0.09070000,0.09204000,0.08296000,0.08401000,806.60080000,1604447999999,70.44904495,6397,392.19630000,34.35663995,0
2020-11-04,0.08412000,0.08955000,0.07369000,0.07565000,1612.66810000,1604534399999,128.18939651,10408,751.43240000,59.88829849,0
2020-11-05,0.07564000,0.08685000,0.06485000,0.07180000,3877.36210000,1604620799999,291.71163029,22192,1919.66960000,144.15259591,0
2020-11-06,0.07202000,0.09009000,0.07153000,0.08820000,3975.19730000,1604707199999,324.11336107,24902,1962.95120000,160.35028775,0
2020-11-07,0.08820000,0.12402000,0.08800000,0.10298000,9899.22140000,1604793599999,1048.29802780,71177,4740.92290000,502.39448133,0
2020-11-08,0.10234000,0.11135000,0.09734000,0.10365000,3032.61020000,1604879999999,314.56657261,21288,1463.61460000,151.49889288,0
2020-11-09,0.10354000,0.10459000,0.09756000,0.09918000,2199.52910000,1604966399999,221.35267453,13965,1043.95360000,104.90064010,0
2020-11-10,0.09903000,0.11389000,0.09736000,0.11120000,4288.62300000,1605052799999,462.58609274,21244,2015.81250000,217.41056705,0
2020-11-11,0.11140000,0.11424000,0.09506000,0.09756000,2431.82210000,1605139199999,255.94128419,15678,1242.44100000,130.73944342,0
2020-11-12,0.09741000,0.10039000,0.08709000,0.08925000,1584.30890000,1605225599999,148.14400793,10664,868.29760000,80.76782801,0
2020-11-13,0.08920000,0.11382000,0.08770000,0.10220000,3634.77250000,1605311999999,361.80599374,19269,1441.11210000,142.49045357,0
2020-11-14,0.10220000,0.10268000,0.09515000,0.09818000,1494.04810000,1605398399999,146.99212620,10446,770.41030000,76.06291178,0
2020-11-15,0.09818000,0.11613000,0.09791000,0.10700000,3972.02930000,1605484799999,427.95892291,24429,2002.27330000,216.04464005,0
2020-11-16,0.10681000,0.11300000,0.10149000,0.10647000,2640.08620000,1605571199999,283.22145671,17971,1277.76580000,137.08705102,0
2020-11-17,0.10638000,0.12622000,0.10591000,0.12075000,4383.01520000,1605657599999,500.64210948,26937,2144.21520000,244.99470056,0
2020-11-18,0.12087000,0.12272000,0.10200000,0.11661000,4011.70590000,1605743999999,454.89928886,28847,1851.26310000,210.52326680,0
2020-11-19,0.11660000,0.13764000,0.11099000,0.13108000,5953.00260000,1605830399999,736.25505034,51338,2818.68570000,348.61935261,0
