timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-06-06,110.80000000,111.00000000,94.10000000,96.90000000,2196.81300000,1623023999999,212955.35880000,1198,1022.39800000,99332.43560000,0
2021-06-07,96.80000000,100.00000000,86.10000000,86.40000000,4286.38300000,1623110399999,405242.94610000,2536,1925.60000000,182044.19630000,0
2021-06-08,86.40000000,88.90000000,73.40000000,83.10000000,11101.58300000,1623196799999,898538.86890000,10042,5094.89700000,416376.08280000,0
2021-06-09,83.00000000,92.70000000,76.80000000,92.60000000,8299.31200000,1623283199999,701988.00860000,9155,4808.42100000,405569.09440000,0
2021-06-10,92.80000000,103.00000000,84.80000000,86.90000000,8613.27700000,1623369599999,770038.22350000,11339,4544.70700000,406931.38800000,0
2021-06-11,87.20000000,87.90000000,78.40000000,79.50000000,4984.69100000,1623455999999,413263.32250000,5756,2875.70200000,238223.19920000,0
2021-06-12,79.40000000,85.00000000,72.20000000,78.60000000,9327.62400000,1623542399999,726673.80070000,13276,4525.54100000,353773.12290000,0
2021-06-13,78.70000000,84.90000000,76.20000000,83.80000000,5395.02100000,1623628799999,427430.29420000,7165,3120.76300000,246711.16520000,0
2021-06-14,84.10000000,85.80000000,81.20000000,84.70000000,3565.74000000,1623715199999,296798.99900000,5122,2059.51800000,171513.64640000,0
2021-06-15,84.60000000,87.60000000,81.20000000,85.70000000,3642.86300000,1623801599999,306246.16600000,5813,1710.65700000,144220.68040000,0
2021-06-16,85.70000000,92.90000000,81.00000000,89.60000000,11749.25800000,1623887999999,1026059.66280000,14958,5985.79900000,524433.57570000,0
2021-06-17,89.50000000,92.70000000,83.10000000,85.80000000,4565.54900000,1623974399999,402693.24250000,7109,1773.32000000,156619.07970000,0
2021-06-18,85.60000000,85.60000000,78.00000000,81.30000000,3804.48500000,1624060799999,310394.80630000,7105,1784.30800000,145744.27880000,0
2021-06-19,81.00000000,83.90000000,78.10000000,79.70000000,3062.98000000,1624147199999,249122.99490000,4773,1680.38700000,136828.97810000,0
2021-06-20,79.50000000,80.70000000,72.50000000,78.20000000,3604.85100000,1624233599999,273724.39280000,3825,1849.87200000,140034.44780000,0
2021-06-21,78.10000000,78.70000000,55.90000000,56.30000000,10868.47400000,1624319999999,716592.87640000,9932,4555.03500000,300306.85780000,0
2021-06-22,56.30000000,63.70000000,47.40000000,55.00000000,20108.44800000,1624406399999,1126773.86130000,15105,9666.56700000,540638.38490000,0
2021-06-23,55.10000000,71.20000000,52.70000000,67.60000000,20036.23400000,1624492799999,1245604.21170000,15808,10760.07600000,671647.49170000,0
2021-06-24,67.70000000,68.80000000,62.40000000,64.30000000,7632.24600000,1624579199999,494573.46480000,9877,3782.32900000,245643.42100000,0
2021-06-25,64.30000000,66.80000000,55.80000000,56.90000000,6314.97600000,1624665599999,383033.20680000,9017,3145.01400000,190497.63420000,0
2021-06-26,56.70000000,59.20000000,51.50000000,56.50000000,5470.34500000,1624751999999,300045.02370000,8644,2282.40000000,126299.14640000,0
2021-06-27,56.10000000,59.70000000,54.70000000,59.50000000,6085.84200000,1624838399999,346429.68710000,6086,2297.84300000,131462.71580000,0
2021-06-28,59.80000000,64.40000000,58.50000000,62.20000000,7226.70800000,1624924799999,437080.47920000,6444,3890.46400000,234297.44600000,0
2021-06-29,62.40000000,70.70000000,62.00000000,66.80000000,15543.42100000,1625011199999,1027693.06940000,7887,7029.97300000,470358.23570000,0
2021-06-30,67.00000000,73.00000000,61.60000000,68.10000000,7369.05800000,1625097599999,492466.84820000,7137,3790.01200000,253983.65410000,0
2021-07-01,68.10000000,68.10000000,61.10000000,62.10000000,5333.88000000,1625183999999,340287.75760000,7197,2666.73300000,170105.01590000,0
2021-07-02,61.90000000,64.20000000,57.80000000,62.30000000,9189.93800000,1625270399999,549806.23890000,5229,5049.21500000,300516.91120000,0
2021-07-03,62.30000000,68.10000000,61.10000000,66.60000000,6545.76700000,1625356799999,423761.37650000,4015,2897.50700000,188585.54320000,0
2021-07-04,66.40000000,69.70000000,64.50000000,67.30000000,4557.51700000,1625443199999,305128.10190000,3477,2995.31600000,199887.67790000,0
2021-07-05,67.20000000,68.50000000,62.00000000,63.10000000,4509.94300000,1625529599999,290512.29760000,6874,2106.70700000,135287.56010000,0
2021-07-06,63.00000000,67.80000000,63.00000000,67.60000000,5353.39800000,1625615999999,347735.65000000,6495,2592.16300000,167870.63700000,0
2021-07-07,67.50000000,69.90000000,64.00000000,64.40000000,4842.45000000,1625702399999,324787.62370000,5405,2174.24900000,145734.48780000,0
2021-07-08,64.30000000,64.80000000,58.20000000,59.80000000,14477.70500000,1625788799999,876586.95020000,8486,7014.40500000,423317.59420000,0
2021-07-09,59.70000000,62.40000000,56.50000000,61.00000000,9485.64100000,1625875199999,554954.83750000,7936,4656.33900000,271873.21300000,0
2021-07-10,61.00000000,62.50000000,57.20000000,58.70000000,4398.32400000,1625961599999,264945.41400000,6682,1407.70700000,83602.00860000,0
2021-07-11,58.80000000,62.00000000,57.80000000,60.70000000,3486.78700000,1626047999999,209067.40560000,6955,1838.49700000,110540.81590000,0
2021-07-12,60.70000000,62.50000000,57.80000000,59.30000000,3578.12300000,1626134399999,215265.94210000,6957,1511.92800000,91092.85870000,0
2021-07-13,59.20000000,59.70000000,55.50000000,57.40000000,5002.18300000,1626220799999,289079.11510000,4696,2142.12100000,123326.48420000,0
2021-07-14,57.70000000,57.80000000,53.10000000,57.10000000,5927.16100000,1626307199999,329458.42760000,6813,2707.46500000,150267.55280000,0
2021-07-15,57.10000000,58.20000000,52.40000000,52.90000000,5823.09700000,1626393599999,314740.99400000,6659,2730.81900000,147052.42160000,0
2021-07-16,53.10000000,55.20000000,50.30000000,50.90000000,9321.25500000,1626479999999,487091.11010000,8032,4568.21200000,237780.77220000,0
2021-07-17,50.90000000,51.80000000,48.90000000,49.60000000,7925.74600000,1626566399999,396836.12420000,7034,4261.32200000,213123.57870000,0
2021-07-18,49.70000000,51.90000000,49.10000000,50.50000000,2852.03400000,1626652799999,144354.58130000,4224,1454.04700000,73531.06060000,0
2021-07-19,50.40000000,52.30000000,45.50000000,45.70000000,13540.78500000,1626739199999,653047.25460000,7876,6770.66900000,327426.49970000,0
2021-07-20,45.70000000,47.10000000,40.90000000,43.60000000,17130.72600000,1626825599999,743283.40150000,7774,8931.76300000,387165.04820000,0
2021-07-21,43.80000000,49.60000000,42.10000000,49.30000000,15133.66100000,1626911999999,696105.05910000,5681,7530.30700000,344812.45170000,0
2021-07-22,49.10000000,50.90000000,46.90000000,48.60000000,5173.54400000,1626998399999,253023.78010000,5163,2906.44400000,142616.69570000,0
2021-07-23,48.70000000,51.60000000,47.60000000,50.70000000,8284.26400000,1627084799999,404899.39050000,5432,4773.48800000,232369.56970000,0
2021-07-24,50.70000000,54.80000000,50.30000000,52.10000000,6347.92700000,1627171199999,330220.94700000,6701,3505.20300000,182309.07540000,0
2021-07-25,52.20000000,53.90000000,48.90000000,51.70000000,7407.20800000,1627257599999,382701.45440000,5236,2851.14600000,146737.24720000,0
2021-07-26,51.70000000,62.90000000,51.60000000,54.80000000,14035.95100000,1627343999999,806420.63370000,11197,7506.34900000,431322.34210000,0
2021-07-27,54.60000000,56.60000000,52.20000000,55.30000000,7902.82200000,1627430399999,429691.64080000,5577,3797.94700000,206241.50930000,0
2021-07-28,55.10000000,58.20000000,54.40000000,56.40000000,9336.38500000,1627516799999,525637.70210000,6478,3900.05500000,219879.23860000,0
2021-07-29,56.40000000,57.00000000,54.20000000,56.90000000,4837.28900000,1627603199999,266921.11130000,4565,2408.52900000,133085.45650000,0
2021-07-30,56.80000000,58.20000000,53.60000000,57.50000000,8124.94100000,1627689599999,453338.32720000,5060,3796.17000000,210961.13060000,0
2021-07-31,57.60000000,59.40000000,55.80000000,58.50000000,5479.60700000,1627775999999,316133.93360000,5667,2639.02200000,152349.11110000,0
2021-08-01,58.40000000,61.50000000,55.40000000,56.10000000,9026.40800000,1627862399999,533823.52760000,7166,3745.86600000,220803.50250000,0
2021-08-02,56.00000000,58.40000000,55.60000000,57.30000000,9567.17800000,1627948799999,545148.04570000,6721,6621.00100000,377220.07510000,0
2021-08-03,57.30000000,58.80000000,54.90000000,58.10000000,5749.93200000,1628035199999,326090.03450000,7216,2888.88600000,163845.52980000,0
2021-08-04,58.30000000,60.70000000,57.10000000,60.10000000,6568.82200000,1628121599999,388484.41290000,6848,3492.30900000,206563.84550000,0
2021-08-05,60.20000000,66.30000000,59.20000000,64.70000000,8326.92200000,1628207999999,524048.88930000,7568,4272.68700000,268933.42010000,0
2021-08-06,64.60000000,67.00000000,62.90000000,65.20000000,5303.09300000,1628294399999,343037.86240000,5760,2133.47100000,138016.60910000,0
2021-08-07,65.10000000,68.20000000,64.50000000,67.40000000,5634.12900000,1628380799999,375186.06770000,4591,2314.27700000,154384.88250000,0
2021-08-08,67.40000000,69.60000000,61.90000000,63.10000000,10791.53800000,1628467199999,721678.54680000,10079,4820.49900000,321535.98130000,0
2021-08-09,63.10000000,67.30000000,60.80000000,66.50000000,4758.62300000,1628553599999,305278.21290000,5861,2726.32700000,174918.51450000,0
2021-08-10,66.20000000,75.00000000,65.30000000,70.60000000,10479.96500000,1628639999999,741736.51320000,6066,4607.00400000,323500.79600000,0
2021-08-11,70.40000000,75.20000000,70.00000000,71.50000000,9290.73400000,1628726399999,669789.66920000,4780,4922.86500000,354729.14100000,0
2021-08-12,71.40000000,77.10000000,65.80000000,68.20000000,8020.76500000,1628812799999,565104.65940000,5835,3607.13300000,253574.93830000,0
2021-08-13,68.30000000,76.50000000,67.40000000,75.40000000,6058.07500000,1628899199999,435990.06940000,3895,3302.79100000,238102.44530000,0
2021-08-14,75.40000000,75.80000000,69.90000000,72.00000000,5474.36300000,1628985599999,396323.87720000,2825,2096.68700000,151863.62180000,0
2021-08-15,72.00000000,74.00000000,68.60000000,72.80000000,5327.62900000,1629071999999,380547.47760000,3100,2542.86000000,181361.92440000,0
2021-08-16,72.90000000,76.50000000,72.20000000,73.50000000,6291.53800000,1629158399999,466014.96730000,3554,3306.71000000,245068.18430000,0
2021-08-17,73.20000000,78.70000000,68.40000000,68.80000000,7638.32800000,1629244799999,567015.58960000,2248,3404.26500000,253954.98680000,0
2021-08-18,69.00000000,69.90000000,63.50000000,67.00000000,4917.56800000,1629331199999,331486.75500000,4098,2775.05000000,187138.20130000,0
2021-08-19,67.00000000,74.10000000,64.50000000,72.60000000,5855.55600000,1629417599999,403588.79840000,6324,3362.32500000,231423.84750000,0
2021-08-20,72.50000000,75.70000000,70.80000000,75.40000000,5218.84500000,1629503999999,381826.43700000,4753,2622.34300000,192153.48420000,0
