Computing,start_date,end_date,candel,value,market_type
N,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,4h,0.7938187504185596,bull
N,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,6h,1.1282050788671516,bull
N,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,8h,1.0023759742275555,bull
N,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,12h,0.7955800907605504,bull
N-1,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,4h,1.1272239424006938,bull
N-1,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,6h,1.211796238184433,bull
N-1,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,8h,1.0544486382787293,bull
N-1,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,12h,0.7907803550013786,bull
N-2,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,4h,1.0819428288420772,bull
N-2,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,6h,0.8387747595442463,bull
N-2,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,8h,0.8610973060625583,bull
N-2,2021-05-10 00:00:00+00:00,2021-05-17 00:00:00+00:00,12h,0.7331323671851728,bull
N,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,4h,0.9132936798092643,bull
N,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,6h,0.914041774134048,bull
N,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,8h,0.8797763263245485,bull
N,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,12h,0.9402003603889019,bull
N-1,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,4h,0.8931015905299559,bull
N-1,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,6h,0.9093330472874943,bull
N-1,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,8h,0.8867488580048695,bull
N-1,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,12h,0.9393351879873042,bull
N-2,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,4h,0.9009209784185958,bull
N-2,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,6h,0.9246099175890496,bull
N-2,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,8h,0.8867488580048695,bull
N-2,2021-07-19 00:00:00+00:00,2021-07-21 00:00:00+00:00,12h,0.9393351879873042,bull
N,2021-05-18 00:00:00+00:00,2021-05-20 00:00:00+00:00,4h,0.5627645777079091,bear
N,2021-05-18 00:00:00+00:00,2021-05-20 00:00:00+00:00,6h,0.7396078730617788,bear
